pricecurrency,pricefinal,REL
USD,0,5
USD,5,10
USD,10,15
USD,15,20
USD,20,25
USD,25,30
USD,30,35
USD,35,40
USD,40,45
USD,45,50
USD,50,55
USD,55,60
USD,60,65
USD,65,70
USD,70,75
USD,75,80
USD,80,85
USD,85,90
USD,90,95
USD,95,100
USD,100,105
USD,105,110
USD,110,115
USD,115,120
USD,120,125
USD,125,130
USD,130,135
USD,135,140
USD,140,145
USD,145,150
USD,150,155
USD,155,160
USD,160,165
USD,165,170
USD,170,175
USD,175,180
USD,180,185
USD,185,190
USD,190,195
USD,195,200
USD,200,205
USD,205,210
USD,210,215
USD,215,220
USD,220,225
USD,225,230
USD,230,235
USD,235,240
USD,240,245
USD,245,250
USD,250,255
USD,255,260
USD,260,265
USD,265,270
USD,270,275
USD,275,280
USD,280,285
USD,285,290
USD,290,295
USD,295,300
USD,300,305
USD,305,310
USD,310,315
USD,315,320
USD,320,325
USD,325,330
USD,330,335
USD,335,340
USD,340,345
USD,345,350
USD,350,355
USD,355,360
USD,360,365
USD,365,370
USD,370,375
USD,375,380
USD,380,385
USD,385,390
USD,390,395
USD,395,400
USD,400,405
USD,405,410
USD,410,415
USD,415,420
USD,420,425
USD,425,430
USD,430,435
USD,435,440
USD,440,445
USD,445,450
USD,450,455
USD,455,460
USD,460,465
USD,465,470
USD,470,475
USD,475,480
USD,480,485
USD,485,490
USD,490,495
USD,495,500